pair,metric,component,layer,head,value_std
original_vs_version1,head_output_maxmatch_cosine,head_output,6,39,0.048261
original_vs_version1,head_output_maxmatch_cosine,head_output,7,0,0.03248
original_vs_version1,head_output_maxmatch_cosine,head_output,7,1,0.028977
original_vs_version1,head_output_maxmatch_cosine,head_output,7,2,0.028366
original_vs_version1,head_output_maxmatch_cosine,head_output,7,3,0.017349
original_vs_version1,head_output_maxmatch_cosine,head_output,7,4,0.026108
original_vs_version1,head_output_maxmatch_cosine,head_output,7,5,0.026706
original_vs_version1,head_output_maxmatch_cosine,head_output,7,6,0.024028
original_vs_version1,head_output_maxmatch_cosine,head_output,7,7,0.027915
original_vs_version1,head_output_maxmatch_cosine,head_output,7,8,0.022536
original_vs_version1,head_output_maxmatch_cosine,head_output,7,9,0.023001
original_vs_version1,head_output_maxmatch_cosine,head_output,7,10,0.04708
original_vs_version1,head_output_maxmatch_cosine,head_output,7,11,0.031787
original_vs_version1,head_output_maxmatch_cosine,head_output,7,12,0.021745
original_vs_version1,head_output_maxmatch_cosine,head_output,7,13,0.049769
original_vs_version1,head_output_maxmatch_cosine,head_output,7,14,0.035761
original_vs_version1,head_output_maxmatch_cosine,head_output,7,15,0.026027
original_vs_version1,head_output_maxmatch_cosine,head_output,7,16,0.02913
original_vs_version1,head_output_maxmatch_cosine,head_output,7,17,0.017907
original_vs_version1,head_output_maxmatch_cosine,head_output,7,18,0.042036
original_vs_version1,head_output_maxmatch_cosine,head_output,7,19,0.021823
original_vs_version1,head_output_maxmatch_cosine,head_output,7,20,0.04186
original_vs_version1,head_output_maxmatch_cosine,head_output,7,21,0.047408
original_vs_version1,head_output_maxmatch_cosine,head_output,7,22,0.051281
original_vs_version1,head_output_maxmatch_cosine,head_output,7,23,0.045235
original_vs_version1,head_output_maxmatch_cosine,head_output,7,24,0.032136
original_vs_version1,head_output_maxmatch_cosine,head_output,7,25,0.04006
original_vs_version1,head_output_maxmatch_cosine,head_output,7,26,0.047914
original_vs_version1,head_output_maxmatch_cosine,head_output,7,27,0.032688
original_vs_version1,head_output_maxmatch_cosine,head_output,7,28,0.022848
original_vs_version1,head_output_maxmatch_cosine,head_output,7,29,0.045198
original_vs_version1,head_output_maxmatch_cosine,head_output,7,30,0.024631
original_vs_version1,head_output_maxmatch_cosine,head_output,7,31,0.018277
original_vs_version1,head_output_maxmatch_cosine,head_output,7,32,0.031525
original_vs_version1,head_output_maxmatch_cosine,head_output,7,33,0.022091
original_vs_version1,head_output_maxmatch_cosine,head_output,7,34,0.038316
original_vs_version1,head_output_maxmatch_cosine,head_output,7,35,0.019296
original_vs_version1,head_output_maxmatch_cosine,head_output,7,36,0.035993
original_vs_version1,head_output_maxmatch_cosine,head_output,7,37,0.015956
original_vs_version1,head_output_maxmatch_cosine,head_output,7,38,0.027231
original_vs_version1,head_output_maxmatch_cosine,head_output,7,39,0.010691
original_vs_version1,head_output_maxmatch_cosine,head_output,8,0,0.037894
original_vs_version1,head_output_maxmatch_cosine,head_output,8,1,0.022602
