pair,metric,component,layer,head,value_mean
original_vs_version1,head_output_maxmatch_cosine,head_output,3,37,0.843167
original_vs_version1,head_output_maxmatch_cosine,head_output,3,38,0.832435
original_vs_version1,head_output_maxmatch_cosine,head_output,3,39,0.833884
original_vs_version1,head_output_maxmatch_cosine,head_output,4,0,0.915916
original_vs_version1,head_output_maxmatch_cosine,head_output,4,1,0.824241
original_vs_version1,head_output_maxmatch_cosine,head_output,4,2,0.848796
original_vs_version1,head_output_maxmatch_cosine,head_output,4,3,0.862535
original_vs_version1,head_output_maxmatch_cosine,head_output,4,4,0.854034
original_vs_version1,head_output_maxmatch_cosine,head_output,4,5,0.820831
original_vs_version1,head_output_maxmatch_cosine,head_output,4,6,0.833899
original_vs_version1,head_output_maxmatch_cosine,head_output,4,7,0.831352
original_vs_version1,head_output_maxmatch_cosine,head_output,4,8,0.792478
original_vs_version1,head_output_maxmatch_cosine,head_output,4,9,0.83098
original_vs_version1,head_output_maxmatch_cosine,head_output,4,10,0.912145
original_vs_version1,head_output_maxmatch_cosine,head_output,4,11,0.877926
original_vs_version1,head_output_maxmatch_cosine,head_output,4,12,0.894516
original_vs_version1,head_output_maxmatch_cosine,head_output,4,13,0.892777
original_vs_version1,head_output_maxmatch_cosine,head_output,4,14,0.930857
original_vs_version1,head_output_maxmatch_cosine,head_output,4,15,0.766911
original_vs_version1,head_output_maxmatch_cosine,head_output,4,16,0.800475
original_vs_version1,head_output_maxmatch_cosine,head_output,4,17,0.778235
original_vs_version1,head_output_maxmatch_cosine,head_output,4,18,0.774093
original_vs_version1,head_output_maxmatch_cosine,head_output,4,19,0.747235
original_vs_version1,head_output_maxmatch_cosine,head_output,4,20,0.727468
original_vs_version1,head_output_maxmatch_cosine,head_output,4,21,0.801629
original_vs_version1,head_output_maxmatch_cosine,head_output,4,22,0.83935
original_vs_version1,head_output_maxmatch_cosine,head_output,4,23,0.864737
original_vs_version1,head_output_maxmatch_cosine,head_output,4,24,0.747285
original_vs_version1,head_output_maxmatch_cosine,head_output,4,25,0.73908
original_vs_version1,head_output_maxmatch_cosine,head_output,4,26,0.793776
original_vs_version1,head_output_maxmatch_cosine,head_output,4,27,0.872268
original_vs_version1,head_output_maxmatch_cosine,head_output,4,28,0.825828
original_vs_version1,head_output_maxmatch_cosine,head_output,4,29,0.726234
original_vs_version1,head_output_maxmatch_cosine,head_output,4,30,0.845242
original_vs_version1,head_output_maxmatch_cosine,head_output,4,31,0.824282
original_vs_version1,head_output_maxmatch_cosine,head_output,4,32,0.804249
original_vs_version1,head_output_maxmatch_cosine,head_output,4,33,0.801611
original_vs_version1,head_output_maxmatch_cosine,head_output,4,34,0.82158
original_vs_version1,head_output_maxmatch_cosine,head_output,4,35,0.800225
original_vs_version1,head_output_maxmatch_cosine,head_output,4,36,0.788
original_vs_version1,head_output_maxmatch_cosine,head_output,4,37,0.820348
original_vs_version1,head_output_maxmatch_cosine,head_output,4,38,0.78849
original_vs_version1,head_output_maxmatch_cosine,head_output,4,39,0.799025
original_vs_version1,head_output_maxmatch_cosine,head_output,5,0,0.929706
original_vs_version1,head_output_maxmatch_cosine,head_output,5,1,0.890274
original_vs_version1,head_output_maxmatch_cosine,head_output,5,2,0.954348
