pair,layer,head,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median,l2_mean_mean,l2_mean_std,l2_mean_median
original_vs_version1,1,5,15,1,1,0.636745,0.01928,0.639871,0.89225,0.013389,0.888628,0.119556,0.039043,0.102435,0.23378,0.012129,0.234959
original_vs_version1,1,6,15,1,1,0.699726,0.0222,0.697122,0.8594,0.014304,0.861556,0.397447,0.096882,0.383669,0.184919,0.013637,0.181909
original_vs_version1,1,7,15,1,1,0.835217,0.008037,0.837687,0.942211,0.00585,0.942675,0.197728,0.032666,0.193803,0.123344,0.004304,0.12137
original_vs_version1,1,8,15,1,1,0.793364,0.012868,0.792452,0.918082,0.012602,0.914735,0.289027,0.044772,0.301697,0.14817,0.007267,0.146579
original_vs_version1,1,9,15,1,1,0.837803,0.011329,0.836734,0.960434,0.008914,0.959247,0.155522,0.037822,0.142894,0.123574,0.007976,0.123031
original_vs_version1,1,10,15,1,1,0.200903,0.016885,0.197875,0.730786,0.034728,0.727608,0.107502,0.019079,0.104941,0.245248,0.014528,0.24229
original_vs_version1,1,11,15,1,1,0.26246,0.020519,0.262001,0.755292,0.031051,0.751038,0.102696,0.026838,0.091208,0.223532,0.011075,0.222636
original_vs_version1,1,12,15,1,1,0.850448,0.013115,0.853596,0.976906,0.005256,0.979012,0.083476,0.027077,0.084904,0.137648,0.004491,0.137405
original_vs_version1,1,13,15,1,1,0.090281,0.008363,0.090806,0.746307,0.034214,0.755027,0.070046,0.012747,0.067689,0.376463,0.012389,0.37532
original_vs_version1,1,14,15,1,1,0.310925,0.025892,0.299976,0.744239,0.026213,0.744437,0.180274,0.043721,0.17007,0.210828,0.010409,0.208631
original_vs_version1,1,15,15,1,1,0.255304,0.049837,0.245446,0.856688,0.033299,0.863077,0.105103,0.030937,0.102751,0.189456,0.010577,0.190144
original_vs_version1,1,16,15,1,1,0.816138,0.026907,0.820891,0.949237,0.013799,0.948441,0.217858,0.042299,0.22534,0.079069,0.008159,0.077878
original_vs_version1,1,17,15,1,1,0.196374,0.01834,0.191814,0.827431,0.034497,0.822388,0.059449,0.016326,0.053923,0.334352,0.021127,0.340373
original_vs_version1,1,18,15,1,1,0.310737,0.022547,0.310107,0.852594,0.024073,0.856785,0.102288,0.040221,0.098174,0.196837,0.010168,0.196969
original_vs_version1,1,19,15,1,1,0.137258,0.013755,0.134879,0.822784,0.030202,0.824221,0.080198,0.023141,0.07955,0.326536,0.00672,0.325353
original_vs_version1,1,20,15,1,1,0.062243,0.009902,0.061169,0.725715,0.039662,0.727582,0.061945,0.016558,0.060365,0.443644,0.017093,0.43918
original_vs_version1,1,21,15,1,1,0.070973,0.010492,0.069076,0.745263,0.037274,0.745019,0.047548,0.009527,0.046003,0.48273,0.020363,0.479837
original_vs_version1,1,22,15,1,1,0.083654,0.011069,0.083548,0.778216,0.032804,0.772864,0.053027,0.024679,0.042034,0.494806,0.019253,0.48848
original_vs_version1,1,23,15,1,1,0.367722,0.040061,0.357355,0.841706,0.033573,0.842009,0.095041,0.047851,0.089967,0.262851,0.027011,0.270089
original_vs_version1,1,24,15,1,1,0.233451,0.039415,0.233123,0.758405,0.034694,0.750612,0.090224,0.046538,0.086752,0.344858,0.035661,0.335084
original_vs_version1,1,25,15,1,1,0.314286,0.032729,0.319822,0.89387,0.02711,0.895956,0.070237,0.021743,0.06755,0.16856,0.006276,0.167468
original_vs_version1,1,26,15,1,1,0.164343,0.03534,0.162271,0.78812,0.034761,0.780312,0.079103,0.019705,0.074056,0.206921,0.015472,0.205941
original_vs_version1,1,27,15,1,1,0.274008,0.041095,0.280792,0.826307,0.031073,0.833297,0.083569,0.029185,0.071364,0.181274,0.022002,0.174095
original_vs_version1,1,28,15,1,1,0.113142,0.014856,0.115289,0.753185,0.037327,0.75387,0.058797,0.010875,0.059178,0.25432,0.02024,0.256976
original_vs_version1,1,29,15,1,1,0.566531,0.051172,0.566297,0.882268,0.023629,0.884162,0.129055,0.037319,0.121975,0.105919,0.004045,0.10552
original_vs_version1,1,30,15,1,1,0.066223,0.004779,0.0655,0.757978,0.038375,0.753981,0.056214,0.01756,0.055705,0.55459,0.023695,0.559709
original_vs_version1,1,31,15,1,1,0.122112,0.014956,0.119797,0.744104,0.043582,0.740889,0.051654,0.017839,0.045151,0.313102,0.024897,0.311871
original_vs_version1,1,32,15,1,1,0.28665,0.021972,0.286702,0.816472,0.041092,0.817948,0.073287,0.031296,0.065684,0.210664,0.019435,0.206062
original_vs_version1,1,33,15,1,1,0.078594,0.014264,0.078851,0.684539,0.040465,0.672643,0.073739,0.024079,0.067875,0.451079,0.016772,0.448286
original_vs_version1,1,34,15,1,1,0.088542,0.011087,0.085789,0.726134,0.045598,0.719034,0.04279,0.010454,0.04011,0.470378,0.031275,0.464967
original_vs_version1,1,35,15,1,1,0.853197,0.012293,0.849967,0.976516,0.004969,0.975932,0.123218,0.043322,0.102256,0.103106,0.004961,0.103037
original_vs_version1,1,36,15,1,1,0.588238,0.046862,0.600655,0.946862,0.013483,0.944917,0.087763,0.029336,0.078294,0.255228,0.035951,0.245695
original_vs_version1,1,37,15,1,1,0.568285,0.039754,0.573644,0.957484,0.012135,0.957614,0.054174,0.02072,0.052792,0.260258,0.026865,0.252654
original_vs_version1,1,38,15,1,1,0.681201,0.023639,0.675197,0.939229,0.01038,0.936174,0.071869,0.019208,0.062664,0.174026,0.011622,0.174847
original_vs_version1,1,39,15,1,1,0.753685,0.034963,0.763773,0.96089,0.009105,0.961592,0.097629,0.033461,0.088207,0.151696,0.02088,0.148867
original_vs_version1,2,0,15,1,1,0.251344,0.015453,0.248694,0.830034,0.019309,0.8319,0.067365,0.015365,0.062266,0.355212,0.023484,0.356378
original_vs_version1,2,1,15,1,1,0.553858,0.02989,0.547429,0.9279,0.014348,0.927558,0.090461,0.02133,0.088732,0.172122,0.002516,0.171609
original_vs_version1,2,2,15,1,1,0.621849,0.018871,0.620616,0.939552,0.007219,0.936734,0.103727,0.025039,0.107337,0.188192,0.010372,0.186618
