layer,head,pair,n_rows,n_layers,n_heads,l2_mean_mean,l2_mean_std,l2_mean_median
0,25,original_vs_version3,15,1,1,0.315956,0.021438,0.308464
0,25,version1_vs_version2,15,1,1,0.347839,0.013967,0.345334
0,25,version1_vs_version3,15,1,1,0.34795,0.013902,0.351509
0,25,version2_vs_version3,15,1,1,0.319787,0.027991,0.313525
0,26,original_vs_version1,15,1,1,0.163844,0.006435,0.161914
0,26,original_vs_version2,15,1,1,0.150358,0.0111,0.151599
0,26,original_vs_version3,15,1,1,0.150517,0.012347,0.149199
0,26,version1_vs_version2,15,1,1,0.161527,0.005115,0.161896
0,26,version1_vs_version3,15,1,1,0.161956,0.006585,0.162667
0,26,version2_vs_version3,15,1,1,0.148059,0.011448,0.148819
0,27,original_vs_version1,15,1,1,0.229183,0.020699,0.238232
0,27,original_vs_version2,15,1,1,0.145617,0.052956,0.124065
0,27,original_vs_version3,15,1,1,0.147271,0.054432,0.119958
0,27,version1_vs_version2,15,1,1,0.24389,0.032548,0.240337
0,27,version1_vs_version3,15,1,1,0.244238,0.034474,0.240191
0,27,version2_vs_version3,15,1,1,0.162075,0.078741,0.121627
0,28,original_vs_version1,15,1,1,0.17425,0.005522,0.173631
0,28,original_vs_version2,15,1,1,0.159552,0.009015,0.159914
0,28,original_vs_version3,15,1,1,0.161718,0.009218,0.160469
0,28,version1_vs_version2,15,1,1,0.171854,0.004781,0.171948
0,28,version1_vs_version3,15,1,1,0.174232,0.005082,0.176487
0,28,version2_vs_version3,15,1,1,0.159265,0.00881,0.158705
0,29,original_vs_version1,15,1,1,0.166343,0.006074,0.163137
0,29,original_vs_version2,15,1,1,0.152248,0.010587,0.14982
0,29,original_vs_version3,15,1,1,0.154012,0.011428,0.152424
0,29,version1_vs_version2,15,1,1,0.164861,0.005408,0.16377
0,29,version1_vs_version3,15,1,1,0.166678,0.006659,0.166319
0,29,version2_vs_version3,15,1,1,0.152351,0.010302,0.1496
0,30,original_vs_version1,15,1,1,0.257943,0.010259,0.260259
0,30,original_vs_version2,15,1,1,0.246179,0.010501,0.242915
0,30,original_vs_version3,15,1,1,0.248479,0.011929,0.244841
0,30,version1_vs_version2,15,1,1,0.261312,0.009944,0.261309
0,30,version1_vs_version3,15,1,1,0.264087,0.010844,0.264528
0,30,version2_vs_version3,15,1,1,0.25195,0.013761,0.249861
0,31,original_vs_version1,15,1,1,0.26928,0.009904,0.269342
0,31,original_vs_version2,15,1,1,0.257811,0.011498,0.253256
0,31,original_vs_version3,15,1,1,0.25847,0.012162,0.256007
0,31,version1_vs_version2,15,1,1,0.273187,0.012968,0.270553
0,31,version1_vs_version3,15,1,1,0.274179,0.012602,0.27242
0,31,version2_vs_version3,15,1,1,0.262617,0.01654,0.257612
0,32,original_vs_version1,15,1,1,0.416537,0.013306,0.416217
