pair,layer,head,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median,l2_mean_mean,l2_mean_std,l2_mean_median
gpqa_orgn_vs_gpqa_ver1,1,24,1,1,1,0.096033,,0.096033,0.660597,,0.660597,0.044358,,0.044358,0.423449,,0.423449
gpqa_orgn_vs_gpqa_ver1,1,25,1,1,1,0.248897,,0.248897,0.772857,,0.772857,0.019767,,0.019767,0.19053,,0.19053
gpqa_orgn_vs_gpqa_ver1,1,26,1,1,1,0.11757,,0.11757,0.699163,,0.699163,0.017353,,0.017353,0.193004,,0.193004
gpqa_orgn_vs_gpqa_ver1,1,27,1,1,1,0.237332,,0.237332,0.705028,,0.705028,0.020256,,0.020256,0.172816,,0.172816
gpqa_orgn_vs_gpqa_ver1,1,28,1,1,1,0.109811,,0.109811,0.627585,,0.627585,0.010946,,0.010946,0.24716,,0.24716
gpqa_orgn_vs_gpqa_ver1,1,29,1,1,1,0.295551,,0.295551,0.775467,,0.775467,0.029284,,0.029284,0.1399,,0.1399
gpqa_orgn_vs_gpqa_ver1,1,30,1,1,1,0.075641,,0.075641,0.570511,,0.570511,0.011972,,0.011972,0.399996,,0.399996
gpqa_orgn_vs_gpqa_ver1,1,31,1,1,1,0.131398,,0.131398,0.59836,,0.59836,0.019269,,0.019269,0.200368,,0.200368
gpqa_orgn_vs_gpqa_ver1,1,32,1,1,1,0.249123,,0.249123,0.707524,,0.707524,0.017587,,0.017587,0.18977,,0.18977
gpqa_orgn_vs_gpqa_ver1,1,33,1,1,1,0.054445,,0.054445,0.53664,,0.53664,0.016058,,0.016058,0.357448,,0.357448
gpqa_orgn_vs_gpqa_ver1,1,34,1,1,1,0.096775,,0.096775,0.592152,,0.592152,0.009097,,0.009097,0.304102,,0.304102
gpqa_orgn_vs_gpqa_ver1,1,35,1,1,1,0.829964,,0.829964,0.962527,,0.962527,0.044506,,0.044506,0.110059,,0.110059
gpqa_orgn_vs_gpqa_ver1,1,36,1,1,1,0.535222,,0.535222,0.906724,,0.906724,0.014661,,0.014661,0.273052,,0.273052
gpqa_orgn_vs_gpqa_ver1,1,37,1,1,1,0.574303,,0.574303,0.915676,,0.915676,0.01551,,0.01551,0.237772,,0.237772
gpqa_orgn_vs_gpqa_ver1,1,38,1,1,1,0.687086,,0.687086,0.907136,,0.907136,0.027958,,0.027958,0.161495,,0.161495
gpqa_orgn_vs_gpqa_ver1,1,39,1,1,1,0.694637,,0.694637,0.937447,,0.937447,0.030064,,0.030064,0.180299,,0.180299
gpqa_orgn_vs_gpqa_ver1,2,0,1,1,1,0.232504,,0.232504,0.718021,,0.718021,0.020134,,0.020134,0.299594,,0.299594
gpqa_orgn_vs_gpqa_ver1,2,1,1,1,1,0.412405,,0.412405,0.842755,,0.842755,0.03255,,0.03255,0.181045,,0.181045
gpqa_orgn_vs_gpqa_ver1,2,2,1,1,1,0.527213,,0.527213,0.869,,0.869,0.036066,,0.036066,0.196336,,0.196336
gpqa_orgn_vs_gpqa_ver1,2,3,1,1,1,0.199499,,0.199499,0.710712,,0.710712,0.049562,,0.049562,0.399312,,0.399312
gpqa_orgn_vs_gpqa_ver1,2,4,1,1,1,0.466442,,0.466442,0.790605,,0.790605,0.127917,,0.127917,0.283644,,0.283644
gpqa_orgn_vs_gpqa_ver1,2,5,1,1,1,0.154796,,0.154796,0.641332,,0.641332,0.01215,,0.01215,0.313059,,0.313059
gpqa_orgn_vs_gpqa_ver1,2,6,1,1,1,0.089471,,0.089471,0.633859,,0.633859,0.012491,,0.012491,0.582749,,0.582749
gpqa_orgn_vs_gpqa_ver1,2,7,1,1,1,0.08213,,0.08213,0.5872,,0.5872,0.011361,,0.011361,0.488714,,0.488714
gpqa_orgn_vs_gpqa_ver1,2,8,1,1,1,0.215001,,0.215001,0.665283,,0.665283,0.020838,,0.020838,0.245772,,0.245772
gpqa_orgn_vs_gpqa_ver1,2,9,1,1,1,0.119983,,0.119983,0.725137,,0.725137,0.015354,,0.015354,0.442147,,0.442147
gpqa_orgn_vs_gpqa_ver1,2,10,1,1,1,0.223927,,0.223927,0.64921,,0.64921,0.058374,,0.058374,0.187515,,0.187515
gpqa_orgn_vs_gpqa_ver1,2,11,1,1,1,0.1683,,0.1683,0.564391,,0.564391,0.055765,,0.055765,0.168176,,0.168176
gpqa_orgn_vs_gpqa_ver1,2,12,1,1,1,0.119787,,0.119787,0.599685,,0.599685,0.017624,,0.017624,0.284811,,0.284811
gpqa_orgn_vs_gpqa_ver1,2,13,1,1,1,0.120023,,0.120023,0.566104,,0.566104,0.022575,,0.022575,0.30031,,0.30031
gpqa_orgn_vs_gpqa_ver1,2,14,1,1,1,0.127583,,0.127583,0.541418,,0.541418,0.030344,,0.030344,0.205151,,0.205151
gpqa_orgn_vs_gpqa_ver1,2,15,1,1,1,0.120871,,0.120871,0.585128,,0.585128,0.007949,,0.007949,0.335169,,0.335169
gpqa_orgn_vs_gpqa_ver1,2,16,1,1,1,0.0706,,0.0706,0.578965,,0.578965,0.005627,,0.005627,0.449095,,0.449095
gpqa_orgn_vs_gpqa_ver1,2,17,1,1,1,0.050567,,0.050567,0.519107,,0.519107,0.006798,,0.006798,0.3903,,0.3903
gpqa_orgn_vs_gpqa_ver1,2,18,1,1,1,0.04682,,0.04682,0.556624,,0.556624,0.005558,,0.005558,0.506178,,0.506178
gpqa_orgn_vs_gpqa_ver1,2,19,1,1,1,0.027978,,0.027978,0.539432,,0.539432,0.007969,,0.007969,0.704738,,0.704738
gpqa_orgn_vs_gpqa_ver1,2,20,1,1,1,0.110765,,0.110765,0.610287,,0.610287,0.016988,,0.016988,0.330417,,0.330417
gpqa_orgn_vs_gpqa_ver1,2,21,1,1,1,0.079036,,0.079036,0.584918,,0.584918,0.009001,,0.009001,0.367095,,0.367095
gpqa_orgn_vs_gpqa_ver1,2,22,1,1,1,0.106708,,0.106708,0.650333,,0.650333,0.008243,,0.008243,0.404059,,0.404059
gpqa_orgn_vs_gpqa_ver1,2,23,1,1,1,0.160492,,0.160492,0.660226,,0.660226,0.012587,,0.012587,0.331111,,0.331111
gpqa_orgn_vs_gpqa_ver1,2,24,1,1,1,0.198116,,0.198116,0.673229,,0.673229,0.020795,,0.020795,0.271271,,0.271271
gpqa_orgn_vs_gpqa_ver1,2,25,1,1,1,0.187773,,0.187773,0.655121,,0.655121,0.011781,,0.011781,0.249713,,0.249713
gpqa_orgn_vs_gpqa_ver1,2,26,1,1,1,0.096285,,0.096285,0.566883,,0.566883,0.008969,,0.008969,0.437894,,0.437894
gpqa_orgn_vs_gpqa_ver1,2,27,1,1,1,0.143142,,0.143142,0.612125,,0.612125,0.012554,,0.012554,0.361303,,0.361303
gpqa_orgn_vs_gpqa_ver1,2,28,1,1,1,0.214231,,0.214231,0.644393,,0.644393,0.016269,,0.016269,0.29789,,0.29789
gpqa_orgn_vs_gpqa_ver1,2,29,1,1,1,0.063956,,0.063956,0.554892,,0.554892,0.006496,,0.006496,0.585815,,0.585815
gpqa_orgn_vs_gpqa_ver1,2,30,1,1,1,0.16394,,0.16394,0.527379,,0.527379,0.062465,,0.062465,0.164102,,0.164102
gpqa_orgn_vs_gpqa_ver1,2,31,1,1,1,0.147887,,0.147887,0.594738,,0.594738,0.03854,,0.03854,0.169216,,0.169216
gpqa_orgn_vs_gpqa_ver1,2,32,1,1,1,0.142997,,0.142997,0.575335,,0.575335,0.049092,,0.049092,0.192949,,0.192949
gpqa_orgn_vs_gpqa_ver1,2,33,1,1,1,0.139924,,0.139924,0.528342,,0.528342,0.053311,,0.053311,0.178255,,0.178255
gpqa_orgn_vs_gpqa_ver1,2,34,1,1,1,0.212091,,0.212091,0.584928,,0.584928,0.078937,,0.078937,0.152399,,0.152399
gpqa_orgn_vs_gpqa_ver1,2,35,1,1,1,0.077325,,0.077325,0.605867,,0.605867,0.011024,,0.011024,0.378965,,0.378965
gpqa_orgn_vs_gpqa_ver1,2,36,1,1,1,0.123781,,0.123781,0.624166,,0.624166,0.020453,,0.020453,0.300492,,0.300492
gpqa_orgn_vs_gpqa_ver1,2,37,1,1,1,0.220301,,0.220301,0.669641,,0.669641,0.039887,,0.039887,0.169728,,0.169728
gpqa_orgn_vs_gpqa_ver1,2,38,1,1,1,0.093114,,0.093114,0.665577,,0.665577,0.008094,,0.008094,0.45967,,0.45967
gpqa_orgn_vs_gpqa_ver1,2,39,1,1,1,0.09941,,0.09941,0.689791,,0.689791,0.005613,,0.005613,0.516913,,0.516913
gpqa_orgn_vs_gpqa_ver1,3,0,1,1,1,0.225995,,0.225995,0.713225,,0.713225,0.018291,,0.018291,0.376225,,0.376225
