layer,head,pair,n_rows,n_layers,n_heads,l2_mean_mean,l2_mean_std,l2_mean_median
0,16,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.372083,,0.372083
0,16,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.37617,,0.37617
0,16,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.368515,,0.368515
0,17,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.340163,,0.340163
0,17,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.258659,,0.258659
0,17,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.342738,,0.342738
0,17,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.408737,,0.408737
0,17,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.412133,,0.412133
0,17,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.448094,,0.448094
0,18,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.626287,,0.626287
0,18,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.632879,,0.632879
0,18,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.625956,,0.625956
0,18,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.609708,,0.609708
0,18,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.620721,,0.620721
0,18,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.596191,,0.596191
0,19,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.356527,,0.356527
0,19,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.346465,,0.346465
0,19,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.361535,,0.361535
0,19,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.346468,,0.346468
0,19,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.360703,,0.360703
0,19,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.349081,,0.349081
0,20,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.202978,,0.202978
0,20,gsm8k_orgn_vs_gpqa_orgn,1,1,1,0.186216,,0.186216
0,20,gsm8k_orgn_vs_gpqa_ver1,1,1,1,0.210212,,0.210212
0,20,gsm8k_orgn_vs_gsm8k_ver1,1,1,1,0.274778,,0.274778
0,20,gsm8k_ver1_vs_gpqa_orgn,1,1,1,0.270735,,0.270735
0,20,gsm8k_ver1_vs_gpqa_ver1,1,1,1,0.2871,,0.2871
0,21,gpqa_orgn_vs_gpqa_ver1,1,1,1,0.108832,,0.108832
