pair,source_file_or_stage,component,metric,mean,std,median,min,max,n_rows,note
version1_vs_version3,qkv,v,mmd_rbf,0.005989,0.006574,0.004492,0.000901,0.173224,16000,mmd_rbf: lower means more similar
version1_vs_version3,qkv,v,cka_linear_valid_only,0.517517,0.123128,0.52614,0.047001,0.797077,320,cka: higher means more structurally similar; valid only
version1_vs_version3,qkv,v,cka_valid_rate,0.02,,,,,16000,fraction of rows with a valid CKA comparison
version2_vs_version3,qkv,k,mean_pairwise_cosine,0.527398,0.17243,0.508047,0.13289,0.988656,16000,cosine: higher means more similar
version2_vs_version3,qkv,k,maxmatch_cosine,0.93014,0.038953,0.937104,0.742334,0.999142,16000,cosine: higher means more similar
version2_vs_version3,qkv,k,mmd_rbf,0.002583,0.001271,0.002304,0.000239,0.012154,16000,mmd_rbf: lower means more similar
version2_vs_version3,qkv,k,cka_linear_valid_only,0.805851,0.11175,0.830959,0.224788,0.993367,960,cka: higher means more structurally similar; valid only
version2_vs_version3,qkv,k,cka_valid_rate,0.06,,,,,16000,fraction of rows with a valid CKA comparison
version2_vs_version3,qkv,q,mean_pairwise_cosine,0.546431,0.115118,0.536806,0.163818,0.915883,80000,cosine: higher means more similar
version2_vs_version3,qkv,q,maxmatch_cosine,0.912022,0.042956,0.920195,0.692175,0.993705,80000,cosine: higher means more similar
version2_vs_version3,qkv,q,mmd_rbf,0.00321,0.001453,0.002913,0.000159,0.015024,80000,mmd_rbf: lower means more similar
version2_vs_version3,qkv,q,cka_linear_valid_only,0.823274,0.083345,0.836452,0.299745,0.992581,4800,cka: higher means more structurally similar; valid only
version2_vs_version3,qkv,q,cka_valid_rate,0.06,,,,,80000,fraction of rows with a valid CKA comparison
version2_vs_version3,qkv,v,mean_pairwise_cosine,0.09749,0.066978,0.081994,0.010082,0.556176,16000,cosine: higher means more similar
version2_vs_version3,qkv,v,maxmatch_cosine,0.908771,0.03612,0.912522,0.682148,0.989975,16000,cosine: higher means more similar
version2_vs_version3,qkv,v,mmd_rbf,0.002243,0.001161,0.002039,0.000172,0.019733,16000,mmd_rbf: lower means more similar
version2_vs_version3,qkv,v,cka_linear_valid_only,0.636375,0.133903,0.64598,0.093707,0.964799,960,cka: higher means more structurally similar; valid only
version2_vs_version3,qkv,v,cka_valid_rate,0.06,,,,,16000,fraction of rows with a valid CKA comparison
original_vs_version1,head_output,head_output,mean_pairwise_cosine,0.323093,0.175316,0.282181,0.016963,0.999993,80000,cosine: higher means more similar
original_vs_version1,head_output,head_output,maxmatch_cosine,0.892597,0.063855,0.907826,0.393644,1.0,80000,cosine: higher means more similar
original_vs_version1,head_output,head_output,mmd_rbf,0.026933,0.044837,0.012671,0.000742,0.84961,80000,mmd_rbf: lower means more similar
original_vs_version1,head_output,head_output,l2_mean,3.956173,5.38043,2.460966,0.000793,65.44741,80000,l2_mean: lower means more similar; same-layer comparison preferred
original_vs_version1,head_output,head_output,cka_linear_valid_only,0.484998,0.265311,0.494172,0.005872,0.996561,4800,cka: higher means more structurally similar; valid only
original_vs_version1,head_output,head_output,cka_valid_rate,0.06,,,,,80000,fraction of rows with a valid CKA comparison
original_vs_version2,head_output,head_output,mean_pairwise_cosine,0.341646,0.179388,0.29934,0.027411,0.999992,80000,cosine: higher means more similar
original_vs_version2,head_output,head_output,maxmatch_cosine,0.949281,0.030965,0.955648,0.599199,1.0,80000,cosine: higher means more similar
original_vs_version2,head_output,head_output,mmd_rbf,0.01001,0.018202,0.005303,0.000199,0.856381,80000,mmd_rbf: lower means more similar
original_vs_version2,head_output,head_output,l2_mean,3.896522,5.290136,2.433407,0.000811,68.147998,80000,l2_mean: lower means more similar; same-layer comparison preferred
original_vs_version2,head_output,head_output,cka_linear_valid_only,0.783001,0.171751,0.828514,0.004549,0.999282,8000,cka: higher means more structurally similar; valid only
original_vs_version2,head_output,head_output,cka_valid_rate,0.1,,,,,80000,fraction of rows with a valid CKA comparison
original_vs_version3,head_output,head_output,mean_pairwise_cosine,0.336935,0.179397,0.29412,0.027152,0.999993,80000,cosine: higher means more similar
original_vs_version3,head_output,head_output,maxmatch_cosine,0.924938,0.041218,0.93174,0.596584,1.0,80000,cosine: higher means more similar
original_vs_version3,head_output,head_output,mmd_rbf,0.015237,0.025019,0.008639,0.000162,0.84796,80000,mmd_rbf: lower means more similar
original_vs_version3,head_output,head_output,l2_mean,3.885641,5.270591,2.429332,0.000804,67.768659,80000,l2_mean: lower means more similar; same-layer comparison preferred
original_vs_version3,head_output,head_output,cka_linear_valid_only,0.456843,0.193421,0.452726,0.004661,0.980523,1600,cka: higher means more structurally similar; valid only
original_vs_version3,head_output,head_output,cka_valid_rate,0.02,,,,,80000,fraction of rows with a valid CKA comparison
version1_vs_version2,head_output,head_output,mean_pairwise_cosine,0.323645,0.17577,0.282138,0.017518,0.999993,80000,cosine: higher means more similar
version1_vs_version2,head_output,head_output,maxmatch_cosine,0.89397,0.063279,0.908146,0.40761,1.0,80000,cosine: higher means more similar
version1_vs_version2,head_output,head_output,mmd_rbf,0.026317,0.043595,0.012712,0.000477,0.906165,80000,mmd_rbf: lower means more similar
version1_vs_version2,head_output,head_output,l2_mean,3.940753,5.348797,2.453612,0.000811,65.417189,80000,l2_mean: lower means more similar; same-layer comparison preferred
version1_vs_version2,head_output,head_output,cka_linear_valid_only,0.704235,0.183763,0.741554,0.044551,0.998245,1600,cka: higher means more structurally similar; valid only
version1_vs_version2,head_output,head_output,cka_valid_rate,0.02,,,,,80000,fraction of rows with a valid CKA comparison
version1_vs_version3,head_output,head_output,mean_pairwise_cosine,0.321826,0.175869,0.280178,0.017073,0.999993,80000,cosine: higher means more similar
version1_vs_version3,head_output,head_output,maxmatch_cosine,0.885013,0.065568,0.898311,0.390912,1.0,80000,cosine: higher means more similar
version1_vs_version3,head_output,head_output,mmd_rbf,0.028448,0.044698,0.014562,0.000648,0.9598,80000,mmd_rbf: lower means more similar
version1_vs_version3,head_output,head_output,l2_mean,3.937548,5.343581,2.453583,0.000807,65.725386,80000,l2_mean: lower means more similar; same-layer comparison preferred
version1_vs_version3,head_output,head_output,cka_linear_valid_only,0.532096,0.226815,0.549591,0.006359,0.997273,1600,cka: higher means more structurally similar; valid only
version1_vs_version3,head_output,head_output,cka_valid_rate,0.02,,,,,80000,fraction of rows with a valid CKA comparison
version2_vs_version3,head_output,head_output,mean_pairwise_cosine,0.339795,0.180084,0.296546,0.028879,0.999993,80000,cosine: higher means more similar
version2_vs_version3,head_output,head_output,maxmatch_cosine,0.936515,0.036093,0.942435,0.641709,1.0,80000,cosine: higher means more similar
version2_vs_version3,head_output,head_output,mmd_rbf,0.011865,0.020465,0.007036,0.000235,0.828984,80000,mmd_rbf: lower means more similar
version2_vs_version3,head_output,head_output,l2_mean,3.864741,5.234351,2.415954,0.000821,67.720236,80000,l2_mean: lower means more similar; same-layer comparison preferred
