pair,pair_category,source_file_or_stage,component,metric,mean,std,median,min,max,n_rows,note
gsm8k_ver1_vs_gpqa_ver1,diff_semantic,head_output,head_output,mmd_rbf,0.053025,0.040541,0.041828,0.008157,0.397124,1600,mmd_rbf: lower means more similar; component-local scale
gsm8k_ver1_vs_gpqa_ver1,diff_semantic,head_output,head_output,l2_mean,4.0186,5.158402,2.613974,0.001636,47.771479,1600,l2_mean: lower means more similar; same-layer comparison preferred
gpqa_orgn_vs_gpqa_ver1,same_semantic_diff_surface,residual,residual,mean_pairwise_cosine,0.467977,0.102309,0.47771,0.097889,0.653045,41,cosine: higher means more similar
gpqa_orgn_vs_gpqa_ver1,same_semantic_diff_surface,residual,residual,maxmatch_cosine,0.689743,0.053924,0.684726,0.492805,0.794391,41,cosine: higher means more similar
gpqa_orgn_vs_gpqa_ver1,same_semantic_diff_surface,residual,residual,mmd_rbf,0.023064,0.057973,0.011977,0.007433,0.380034,41,mmd_rbf: lower means more similar; component-local scale
gsm8k_orgn_vs_gpqa_orgn,diff_semantic,residual,residual,mean_pairwise_cosine,0.472009,0.097569,0.473907,0.113608,0.708556,41,cosine: higher means more similar
gsm8k_orgn_vs_gpqa_orgn,diff_semantic,residual,residual,maxmatch_cosine,0.640068,0.073311,0.623079,0.503707,0.797917,41,cosine: higher means more similar
gsm8k_orgn_vs_gpqa_orgn,diff_semantic,residual,residual,mmd_rbf,0.038076,0.010777,0.039238,0.010581,0.075497,41,mmd_rbf: lower means more similar; component-local scale
gsm8k_orgn_vs_gpqa_ver1,diff_semantic,residual,residual,mean_pairwise_cosine,0.445648,0.109369,0.461323,0.049737,0.677197,41,cosine: higher means more similar
gsm8k_orgn_vs_gpqa_ver1,diff_semantic,residual,residual,maxmatch_cosine,0.608272,0.074801,0.604625,0.377204,0.766775,41,cosine: higher means more similar
gsm8k_orgn_vs_gpqa_ver1,diff_semantic,residual,residual,mmd_rbf,0.056974,0.075952,0.046943,0.016922,0.520824,41,mmd_rbf: lower means more similar; component-local scale
gsm8k_orgn_vs_gsm8k_ver1,same_semantic_diff_surface,residual,residual,mean_pairwise_cosine,0.447279,0.120494,0.467938,-0.0146,0.720155,41,cosine: higher means more similar
gsm8k_orgn_vs_gsm8k_ver1,same_semantic_diff_surface,residual,residual,maxmatch_cosine,0.653412,0.084878,0.671637,0.318844,0.799315,41,cosine: higher means more similar
gsm8k_orgn_vs_gsm8k_ver1,same_semantic_diff_surface,residual,residual,mmd_rbf,0.044544,0.095924,0.026434,0.013458,0.632947,41,mmd_rbf: lower means more similar; component-local scale
gsm8k_ver1_vs_gpqa_orgn,diff_semantic,residual,residual,mean_pairwise_cosine,0.428858,0.111666,0.441581,0.009477,0.676588,41,cosine: higher means more similar
gsm8k_ver1_vs_gpqa_orgn,diff_semantic,residual,residual,maxmatch_cosine,0.59522,0.078629,0.597408,0.323733,0.762575,41,cosine: higher means more similar
gsm8k_ver1_vs_gpqa_orgn,diff_semantic,residual,residual,mmd_rbf,0.06647,0.073595,0.053527,0.02008,0.517486,41,mmd_rbf: lower means more similar; component-local scale
gsm8k_ver1_vs_gpqa_ver1,diff_semantic,residual,residual,mean_pairwise_cosine,0.438499,0.088758,0.439704,0.091286,0.694461,41,cosine: higher means more similar
gsm8k_ver1_vs_gpqa_ver1,diff_semantic,residual,residual,maxmatch_cosine,0.615841,0.069323,0.614866,0.425049,0.798011,41,cosine: higher means more similar
gsm8k_ver1_vs_gpqa_ver1,diff_semantic,residual,residual,mmd_rbf,0.039862,0.00836,0.041286,0.012887,0.065722,41,mmd_rbf: lower means more similar; component-local scale
