pair,layer,n_rows,n_layers,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median
gsm8k_orgn_vs_gsm8k_ver1,22,1,1,0.440285,,0.440285,0.661639,,0.661639,0.017812,,0.017812
gsm8k_orgn_vs_gsm8k_ver1,23,1,1,0.467233,,0.467233,0.677085,,0.677085,0.018436,,0.018436
gsm8k_orgn_vs_gsm8k_ver1,24,1,1,0.499064,,0.499064,0.698051,,0.698051,0.018704,,0.018704
gsm8k_orgn_vs_gsm8k_ver1,25,1,1,0.482843,,0.482843,0.683116,,0.683116,0.020085,,0.020085
gsm8k_orgn_vs_gsm8k_ver1,26,1,1,0.495959,,0.495959,0.684904,,0.684904,0.024502,,0.024502
gsm8k_orgn_vs_gsm8k_ver1,27,1,1,0.502601,,0.502601,0.68447,,0.68447,0.028203,,0.028203
gsm8k_orgn_vs_gsm8k_ver1,28,1,1,0.49038,,0.49038,0.670631,,0.670631,0.026087,,0.026087
gsm8k_orgn_vs_gsm8k_ver1,29,1,1,0.467938,,0.467938,0.658789,,0.658789,0.024917,,0.024917
gsm8k_orgn_vs_gsm8k_ver1,30,1,1,0.461545,,0.461545,0.64089,,0.64089,0.029452,,0.029452
gsm8k_orgn_vs_gsm8k_ver1,31,1,1,0.481346,,0.481346,0.654883,,0.654883,0.029345,,0.029345
gsm8k_orgn_vs_gsm8k_ver1,32,1,1,0.496279,,0.496279,0.665768,,0.665768,0.031742,,0.031742
gsm8k_orgn_vs_gsm8k_ver1,33,1,1,0.507378,,0.507378,0.671637,,0.671637,0.034767,,0.034767
gsm8k_orgn_vs_gsm8k_ver1,34,1,1,0.509395,,0.509395,0.669891,,0.669891,0.035453,,0.035453
gsm8k_orgn_vs_gsm8k_ver1,35,1,1,0.53097,,0.53097,0.687204,,0.687204,0.03689,,0.03689
gsm8k_orgn_vs_gsm8k_ver1,36,1,1,0.565412,,0.565412,0.700327,,0.700327,0.041775,,0.041775
gsm8k_orgn_vs_gsm8k_ver1,37,1,1,0.585784,,0.585784,0.716634,,0.716634,0.051341,,0.051341
gsm8k_orgn_vs_gsm8k_ver1,38,1,1,0.617906,,0.617906,0.729937,,0.729937,0.074762,,0.074762
gsm8k_orgn_vs_gsm8k_ver1,39,1,1,0.720155,,0.720155,0.799315,,0.799315,0.116321,,0.116321
