pair,layer,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median,l2_mean_mean,l2_mean_std,l2_mean_median
gsm8k_orgn_vs_gpqa_ver1,0,40,1,40,0.339021,0.295854,0.26942,0.665888,0.173021,0.644936,0.084725,0.067951,0.063884,0.267206,0.123041,0.245219
gsm8k_orgn_vs_gpqa_ver1,1,40,1,40,0.318641,0.29009,0.219491,0.674578,0.178796,0.665676,0.088075,0.066055,0.071892,0.27181,0.121229,0.255806
gsm8k_orgn_vs_gpqa_ver1,2,40,1,40,0.143215,0.103561,0.125605,0.536611,0.087748,0.526538,0.072053,0.0669,0.057441,0.363428,0.144368,0.338881
gsm8k_orgn_vs_gpqa_ver1,3,40,1,40,0.147905,0.087569,0.140379,0.523548,0.111086,0.520946,0.081232,0.064908,0.065337,0.426774,0.124608,0.428554
gsm8k_orgn_vs_gpqa_ver1,4,40,1,40,0.175783,0.138869,0.126486,0.530063,0.139269,0.494464,0.081077,0.05764,0.059018,0.497771,0.167833,0.506226
gsm8k_orgn_vs_gpqa_ver1,5,40,1,40,0.33984,0.260745,0.225303,0.686765,0.181275,0.66708,0.087963,0.069987,0.059451,0.497598,0.266593,0.507662
gsm8k_orgn_vs_gpqa_ver1,6,40,1,40,0.194893,0.136346,0.168784,0.553553,0.140833,0.554026,0.087341,0.052253,0.073411,0.718332,0.244263,0.766624
gsm8k_orgn_vs_gpqa_ver1,7,40,1,40,0.233482,0.178131,0.172492,0.583002,0.15173,0.5688,0.060864,0.054561,0.04506,0.85423,0.483958,0.803041
gsm8k_orgn_vs_gpqa_ver1,8,40,1,40,0.289041,0.23211,0.207193,0.642133,0.161188,0.60501,0.069058,0.059631,0.048386,0.874199,0.528401,0.796432
gsm8k_orgn_vs_gpqa_ver1,9,40,1,40,0.281899,0.238039,0.21003,0.663553,0.152706,0.655418,0.039468,0.026399,0.034578,0.884384,0.453807,0.877066
gsm8k_orgn_vs_gpqa_ver1,10,40,1,40,0.197855,0.198337,0.119676,0.575779,0.155746,0.53717,0.032266,0.019347,0.0264,1.184746,0.598447,1.22769
gsm8k_orgn_vs_gpqa_ver1,11,40,1,40,0.17663,0.164284,0.12079,0.551675,0.14434,0.529292,0.039772,0.028437,0.029353,1.40812,0.589495,1.466684
gsm8k_orgn_vs_gpqa_ver1,12,40,1,40,0.255226,0.199807,0.2101,0.639296,0.146436,0.619647,0.054414,0.038293,0.048111,1.441099,0.65283,1.399909
gsm8k_orgn_vs_gpqa_ver1,13,40,1,40,0.183644,0.176993,0.128412,0.548903,0.158597,0.541915,0.057349,0.05134,0.038852,1.89568,0.852861,1.801371
gsm8k_orgn_vs_gpqa_ver1,14,40,1,40,0.278212,0.266609,0.174982,0.614715,0.191926,0.601528,0.063538,0.052196,0.045419,1.75864,0.997749,1.664092
gsm8k_orgn_vs_gpqa_ver1,15,40,1,40,0.182441,0.162504,0.13502,0.579599,0.12341,0.564194,0.053891,0.029726,0.046699,2.100426,0.788348,2.052516
gsm8k_orgn_vs_gpqa_ver1,16,40,1,40,0.226502,0.148564,0.188483,0.60551,0.111457,0.573562,0.053206,0.032024,0.047954,2.41409,0.984864,2.328264
gsm8k_orgn_vs_gpqa_ver1,17,40,1,40,0.24041,0.162042,0.200533,0.607512,0.127366,0.593324,0.090242,0.082967,0.067493,2.580763,0.891825,2.627042
gsm8k_orgn_vs_gpqa_ver1,18,40,1,40,0.290862,0.180236,0.256449,0.646432,0.127554,0.652057,0.065247,0.043167,0.049817,2.549756,1.33516,2.478814
gsm8k_orgn_vs_gpqa_ver1,19,40,1,40,0.213716,0.119774,0.201546,0.591915,0.107936,0.585572,0.045057,0.02988,0.035938,2.898323,0.866245,2.800408
gsm8k_orgn_vs_gpqa_ver1,20,40,1,40,0.224363,0.163052,0.166764,0.584834,0.127355,0.570083,0.051081,0.028211,0.043093,2.945646,1.295197,2.984654
gsm8k_orgn_vs_gpqa_ver1,21,40,1,40,0.20466,0.164225,0.160066,0.585003,0.13,0.561902,0.074006,0.046206,0.063032,3.738249,1.238903,3.594292
gsm8k_orgn_vs_gpqa_ver1,22,40,1,40,0.237644,0.175138,0.233871,0.591269,0.136849,0.618651,0.070841,0.050351,0.06592,3.741735,1.151865,3.833986
gsm8k_orgn_vs_gpqa_ver1,23,40,1,40,0.277843,0.175434,0.245658,0.618981,0.136482,0.611644,0.057887,0.030553,0.050151,2.706262,1.230838,2.585796
gsm8k_orgn_vs_gpqa_ver1,24,40,1,40,0.205678,0.157472,0.163219,0.553569,0.125015,0.553817,0.078628,0.053949,0.058005,3.988307,1.985952,3.831372
gsm8k_orgn_vs_gpqa_ver1,25,40,1,40,0.24631,0.107211,0.23565,0.58398,0.104045,0.57846,0.071308,0.076913,0.04348,3.708178,1.346287,3.366934
gsm8k_orgn_vs_gpqa_ver1,26,40,1,40,0.229483,0.179781,0.185256,0.589678,0.115197,0.580429,0.075774,0.065138,0.051161,3.813063,1.471768,4.051671
gsm8k_orgn_vs_gpqa_ver1,27,40,1,40,0.162083,0.069292,0.151852,0.539707,0.084205,0.551336,0.055569,0.024843,0.051438,5.652795,2.435757,5.050296
gsm8k_orgn_vs_gpqa_ver1,28,40,1,40,0.168111,0.166994,0.132062,0.554242,0.124,0.54703,0.050685,0.022904,0.047062,4.94467,1.756251,4.788942
gsm8k_orgn_vs_gpqa_ver1,29,40,1,40,0.232421,0.17976,0.189872,0.605049,0.103432,0.58781,0.058532,0.072162,0.032645,4.549288,1.639126,4.442242
gsm8k_orgn_vs_gpqa_ver1,30,40,1,40,0.214355,0.206922,0.150318,0.56722,0.142361,0.536822,0.051898,0.036517,0.040676,5.794923,2.760015,4.94176
gsm8k_orgn_vs_gpqa_ver1,31,40,1,40,0.235207,0.159569,0.207776,0.588385,0.11908,0.601962,0.069972,0.050995,0.05549,6.372541,2.424507,6.520814
gsm8k_orgn_vs_gpqa_ver1,32,40,1,40,0.251806,0.194483,0.19632,0.60097,0.14344,0.562412,0.079719,0.072732,0.044387,5.981498,3.344509,5.13081
gsm8k_orgn_vs_gpqa_ver1,33,40,1,40,0.228904,0.15703,0.203952,0.570617,0.109208,0.553446,0.052761,0.026901,0.049033,6.477985,2.505702,6.028983
gsm8k_orgn_vs_gpqa_ver1,34,40,1,40,0.268234,0.223811,0.20287,0.61451,0.155184,0.572687,0.053615,0.034625,0.039483,7.185353,4.195771,6.041324
gsm8k_orgn_vs_gpqa_ver1,35,40,1,40,0.254306,0.154617,0.222596,0.585595,0.100816,0.578056,0.045261,0.046682,0.024258,6.925477,2.485726,6.436155
gsm8k_orgn_vs_gpqa_ver1,36,40,1,40,0.21271,0.155913,0.165994,0.558277,0.150083,0.559122,0.079724,0.092728,0.045236,11.383274,7.136192,9.829077
gsm8k_orgn_vs_gpqa_ver1,37,40,1,40,0.259117,0.158901,0.2139,0.580579,0.120846,0.551521,0.07783,0.082832,0.043828,13.518495,5.535369,11.558932
gsm8k_orgn_vs_gpqa_ver1,38,40,1,40,0.324072,0.22253,0.317728,0.607149,0.18543,0.63443,0.077797,0.074998,0.050252,17.952002,10.127322,17.610263
gsm8k_orgn_vs_gpqa_ver1,39,40,1,40,0.292768,0.234504,0.249329,0.562771,0.176282,0.581708,0.111154,0.098067,0.064773,19.211949,12.033013,16.356693
gsm8k_orgn_vs_gsm8k_ver1,0,40,1,40,0.311336,0.294995,0.18874,0.653238,0.172163,0.608961,0.072999,0.049981,0.052581,0.282483,0.131405,0.269715
gsm8k_orgn_vs_gsm8k_ver1,1,40,1,40,0.365815,0.288701,0.288103,0.724549,0.167174,0.717562,0.064603,0.058586,0.043996,0.282962,0.147273,0.234981
gsm8k_orgn_vs_gsm8k_ver1,2,40,1,40,0.212233,0.146778,0.175794,0.627312,0.098085,0.609906,0.040379,0.037549,0.027607,0.372576,0.169337,0.331552
gsm8k_orgn_vs_gsm8k_ver1,3,40,1,40,0.232665,0.111772,0.238804,0.640712,0.116381,0.671371,0.052896,0.084201,0.026946,0.426347,0.154134,0.430729
gsm8k_orgn_vs_gsm8k_ver1,4,40,1,40,0.259995,0.170217,0.198734,0.660586,0.111602,0.62604,0.049491,0.045358,0.033006,0.503334,0.18966,0.520065
gsm8k_orgn_vs_gsm8k_ver1,5,40,1,40,0.429185,0.264678,0.386106,0.787051,0.139456,0.799615,0.038109,0.031073,0.026526,0.471856,0.281306,0.485852
gsm8k_orgn_vs_gsm8k_ver1,6,40,1,40,0.278212,0.140748,0.277761,0.695506,0.108282,0.708941,0.041836,0.032666,0.027252,0.703307,0.252789,0.72999
gsm8k_orgn_vs_gsm8k_ver1,7,40,1,40,0.297533,0.163339,0.28142,0.723881,0.102704,0.747709,0.036006,0.05572,0.016696,0.841276,0.494283,0.78011
gsm8k_orgn_vs_gsm8k_ver1,8,40,1,40,0.389754,0.223853,0.348572,0.785474,0.107221,0.786716,0.027274,0.02855,0.017829,0.818361,0.50409,0.795642
gsm8k_orgn_vs_gsm8k_ver1,9,40,1,40,0.357294,0.262039,0.256054,0.761052,0.126082,0.745852,0.014441,0.008512,0.012151,0.849744,0.522077,0.854206
gsm8k_orgn_vs_gsm8k_ver1,10,40,1,40,0.257315,0.220277,0.18401,0.695868,0.128579,0.703234,0.013199,0.006539,0.01122,1.151141,0.634796,1.11787
gsm8k_orgn_vs_gsm8k_ver1,11,40,1,40,0.251561,0.197727,0.189602,0.703278,0.118781,0.714732,0.011372,0.007452,0.009235,1.403158,0.668011,1.467256
gsm8k_orgn_vs_gsm8k_ver1,12,40,1,40,0.370891,0.205534,0.31817,0.80101,0.090765,0.789371,0.010002,0.004567,0.010115,1.321726,0.709419,1.318503
gsm8k_orgn_vs_gsm8k_ver1,13,40,1,40,0.293975,0.198166,0.245194,0.742729,0.131529,0.74859,0.012166,0.009264,0.008427,1.744539,0.861786,1.606564
gsm8k_orgn_vs_gsm8k_ver1,14,40,1,40,0.378014,0.25867,0.339644,0.780941,0.128011,0.800052,0.017738,0.018801,0.010981,1.618059,0.990886,1.585798
gsm8k_orgn_vs_gsm8k_ver1,15,40,1,40,0.29347,0.185475,0.226694,0.767871,0.086608,0.761023,0.013114,0.014195,0.009246,1.897499,0.737052,1.926754
gsm8k_orgn_vs_gsm8k_ver1,16,40,1,40,0.331873,0.166378,0.300972,0.765229,0.10552,0.789924,0.010018,0.006689,0.008366,2.164955,0.981033,2.076342
gsm8k_orgn_vs_gsm8k_ver1,17,40,1,40,0.367609,0.178836,0.33158,0.799361,0.077542,0.809178,0.019964,0.025838,0.009993,2.220208,0.844434,2.332176
gsm8k_orgn_vs_gsm8k_ver1,18,40,1,40,0.407674,0.195809,0.381934,0.778326,0.102956,0.788556,0.024797,0.040757,0.010076,2.197689,1.300863,2.15103
gsm8k_orgn_vs_gsm8k_ver1,19,40,1,40,0.301599,0.157156,0.281322,0.734976,0.087609,0.728843,0.011902,0.004371,0.011648,2.564913,0.785052,2.573916
gsm8k_orgn_vs_gsm8k_ver1,20,40,1,40,0.31196,0.174055,0.265334,0.740482,0.097563,0.749432,0.015045,0.011132,0.011217,2.601331,1.274326,2.587771
gsm8k_orgn_vs_gsm8k_ver1,21,40,1,40,0.336108,0.17251,0.328464,0.779507,0.071773,0.783638,0.014096,0.018841,0.007343,3.149369,1.157078,2.892874
gsm8k_orgn_vs_gsm8k_ver1,22,40,1,40,0.333976,0.19298,0.306668,0.765932,0.099772,0.776794,0.019156,0.050339,0.008148,3.296246,1.059331,3.267541
gsm8k_orgn_vs_gsm8k_ver1,23,40,1,40,0.373057,0.183035,0.341005,0.755247,0.10316,0.766424,0.02146,0.032843,0.009384,2.339703,1.189336,2.292021
gsm8k_orgn_vs_gsm8k_ver1,24,40,1,40,0.32581,0.152785,0.299113,0.776283,0.077816,0.787972,0.011066,0.009082,0.008154,3.279021,1.772231,3.387153
gsm8k_orgn_vs_gsm8k_ver1,25,40,1,40,0.347941,0.128555,0.32935,0.769626,0.071402,0.764927,0.030662,0.057597,0.00995,3.272246,1.199435,3.104482
gsm8k_orgn_vs_gsm8k_ver1,26,40,1,40,0.319985,0.173426,0.27409,0.770745,0.076547,0.784576,0.039002,0.080326,0.008736,3.51098,1.476653,3.828518
gsm8k_orgn_vs_gsm8k_ver1,27,40,1,40,0.245397,0.082652,0.246592,0.72391,0.080955,0.742416,0.01437,0.008692,0.010703,5.051892,2.191055,4.758496
gsm8k_orgn_vs_gsm8k_ver1,28,40,1,40,0.264667,0.177312,0.22129,0.749763,0.085223,0.765187,0.01284,0.013242,0.008801,4.114585,1.855081,3.946146
gsm8k_orgn_vs_gsm8k_ver1,29,40,1,40,0.286468,0.185872,0.229707,0.732547,0.072033,0.729274,0.035966,0.065717,0.012086,4.352089,1.544707,4.222965
