pair,component,layer,n_rows,n_layers,n_heads,mean_pairwise_cosine_mean,mean_pairwise_cosine_std,mean_pairwise_cosine_median,maxmatch_cosine_mean,maxmatch_cosine_std,maxmatch_cosine_median,mmd_rbf_mean,mmd_rbf_std,mmd_rbf_median
gpqa_orgn_vs_gpqa_ver1,q,39,40,1,40,0.574115,0.082133,0.591803,0.786871,0.045092,0.784617,0.022428,0.013005,0.017529
gpqa_orgn_vs_gpqa_ver1,v,0,8,1,8,0.136221,0.151235,0.078186,0.667841,0.058126,0.65295,0.011247,0.005133,0.009647
gpqa_orgn_vs_gpqa_ver1,v,1,8,1,8,0.089994,0.115652,0.034564,0.653977,0.076774,0.639635,0.012038,0.004687,0.010363
gpqa_orgn_vs_gpqa_ver1,v,2,8,1,8,0.029469,0.018906,0.020437,0.530881,0.049482,0.525066,0.007778,0.001632,0.007342
gpqa_orgn_vs_gpqa_ver1,v,3,8,1,8,0.029806,0.017269,0.02456,0.567723,0.049176,0.558298,0.007177,0.003031,0.005964
gpqa_orgn_vs_gpqa_ver1,v,4,8,1,8,0.050311,0.061439,0.026358,0.554919,0.073659,0.523022,0.005875,0.001277,0.005464
gpqa_orgn_vs_gpqa_ver1,v,5,8,1,8,0.122135,0.118583,0.086397,0.615142,0.087594,0.59562,0.008432,0.003331,0.007737
gpqa_orgn_vs_gpqa_ver1,v,6,8,1,8,0.042807,0.023046,0.036368,0.528394,0.066947,0.518516,0.007624,0.001026,0.007482
gpqa_orgn_vs_gpqa_ver1,v,7,8,1,8,0.069104,0.03369,0.067327,0.511336,0.051342,0.53381,0.011313,0.005512,0.00897
gpqa_orgn_vs_gpqa_ver1,v,8,8,1,8,0.072824,0.017906,0.071546,0.559677,0.03482,0.558402,0.008353,0.002327,0.008387
gpqa_orgn_vs_gpqa_ver1,v,9,8,1,8,0.094022,0.061614,0.095236,0.564485,0.035844,0.55905,0.008143,0.000501,0.00804
gpqa_orgn_vs_gpqa_ver1,v,10,8,1,8,0.053381,0.025344,0.054078,0.512035,0.050201,0.532724,0.005332,0.000814,0.005294
gpqa_orgn_vs_gpqa_ver1,v,11,8,1,8,0.035953,0.009921,0.036313,0.462162,0.024451,0.459955,0.006139,0.000685,0.006084
gpqa_orgn_vs_gpqa_ver1,v,12,8,1,8,0.092228,0.070779,0.07087,0.504279,0.062437,0.474654,0.005309,0.000583,0.005319
gpqa_orgn_vs_gpqa_ver1,v,13,8,1,8,0.068514,0.046457,0.048203,0.48225,0.072224,0.480975,0.005485,0.001228,0.005135
gpqa_orgn_vs_gpqa_ver1,v,14,8,1,8,0.118486,0.118411,0.078418,0.549282,0.099631,0.497278,0.006568,0.001294,0.006013
gpqa_orgn_vs_gpqa_ver1,v,15,8,1,8,0.085949,0.039277,0.077543,0.516444,0.030784,0.507853,0.0067,0.001544,0.006278
gpqa_orgn_vs_gpqa_ver1,v,16,8,1,8,0.079514,0.024448,0.081092,0.511655,0.04277,0.513994,0.005494,0.000462,0.005422
gpqa_orgn_vs_gpqa_ver1,v,17,8,1,8,0.091174,0.050575,0.081604,0.534413,0.043896,0.522394,0.005454,0.001317,0.004851
gpqa_orgn_vs_gpqa_ver1,v,18,8,1,8,0.085109,0.048322,0.07734,0.501066,0.062143,0.495367,0.006134,0.001357,0.005678
