pair,layer_from,layer_to,delta_maxmatch_cosine,delta_mmd_rbf
gsm8k_ver1_vs_gpqa_orgn,35,36,0.035369,0.000744
gsm8k_ver1_vs_gpqa_orgn,36,37,0.010761,0.004537
gsm8k_ver1_vs_gpqa_orgn,37,38,0.024252,0.017651
gsm8k_ver1_vs_gpqa_orgn,38,39,0.074272,0.038999
gsm8k_ver1_vs_gpqa_orgn,39,40,-0.34315,0.40067
gsm8k_ver1_vs_gpqa_ver1,0,1,0.290295,0.012859
gsm8k_ver1_vs_gpqa_ver1,1,2,-0.002558,0.010746
gsm8k_ver1_vs_gpqa_ver1,2,3,-0.027329,-0.000947
gsm8k_ver1_vs_gpqa_ver1,3,4,-0.008711,-0.01004
gsm8k_ver1_vs_gpqa_ver1,4,5,0.011836,0.007462
gsm8k_ver1_vs_gpqa_ver1,5,6,-0.044525,-0.005103
gsm8k_ver1_vs_gpqa_ver1,6,7,-0.024003,0.003786
gsm8k_ver1_vs_gpqa_ver1,7,8,0.014598,0.011431
gsm8k_ver1_vs_gpqa_ver1,8,9,-0.013457,-0.004349
gsm8k_ver1_vs_gpqa_ver1,9,10,0.009504,1.3e-05
gsm8k_ver1_vs_gpqa_ver1,10,11,-0.041052,-0.01234
gsm8k_ver1_vs_gpqa_ver1,11,12,-0.017213,0.007216
gsm8k_ver1_vs_gpqa_ver1,12,13,-0.044533,0.008285
gsm8k_ver1_vs_gpqa_ver1,13,14,-0.016754,-0.001372
gsm8k_ver1_vs_gpqa_ver1,14,15,0.024587,-0.00087
gsm8k_ver1_vs_gpqa_ver1,15,16,0.003998,0.001468
gsm8k_ver1_vs_gpqa_ver1,16,17,0.00549,0.000382
gsm8k_ver1_vs_gpqa_ver1,17,18,0.01527,0.003027
gsm8k_ver1_vs_gpqa_ver1,18,19,-0.001641,0.00187
gsm8k_ver1_vs_gpqa_ver1,19,20,0.002175,-0.003904
gsm8k_ver1_vs_gpqa_ver1,20,21,0.048317,-0.003242
gsm8k_ver1_vs_gpqa_ver1,21,22,-0.029796,0.002396
gsm8k_ver1_vs_gpqa_ver1,22,23,0.020001,0.003535
gsm8k_ver1_vs_gpqa_ver1,23,24,0.016861,-0.003377
gsm8k_ver1_vs_gpqa_ver1,24,25,-0.013975,0.005405
gsm8k_ver1_vs_gpqa_ver1,25,26,0.013497,-0.001166
gsm8k_ver1_vs_gpqa_ver1,26,27,-0.001065,0.004104
gsm8k_ver1_vs_gpqa_ver1,27,28,-0.007022,-0.007657
gsm8k_ver1_vs_gpqa_ver1,28,29,-0.021981,-0.000553
gsm8k_ver1_vs_gpqa_ver1,29,30,0.003377,0.00136
gsm8k_ver1_vs_gpqa_ver1,30,31,-0.006685,-0.002026
gsm8k_ver1_vs_gpqa_ver1,31,32,0.023647,0.003263
gsm8k_ver1_vs_gpqa_ver1,32,33,0.019486,-0.003264
gsm8k_ver1_vs_gpqa_ver1,33,34,-0.007618,-0.001643
gsm8k_ver1_vs_gpqa_ver1,34,35,0.009149,0.002966
gsm8k_ver1_vs_gpqa_ver1,35,36,0.039399,-0.003797
gsm8k_ver1_vs_gpqa_ver1,36,37,0.012877,0.001525
gsm8k_ver1_vs_gpqa_ver1,37,38,0.033369,0.005001
gsm8k_ver1_vs_gpqa_ver1,38,39,0.085147,0.002806
gsm8k_ver1_vs_gpqa_ver1,39,40,-0.043084,0.017579
