pair,layer_from,layer_to,delta_maxmatch_cosine,delta_mmd_rbf
version2_vs_version3,0,1,0.055595,0.000935
version2_vs_version3,1,2,-0.00149,0.004983
version2_vs_version3,2,3,-0.006703,-0.001945
version2_vs_version3,3,4,-0.003236,0.000591
version2_vs_version3,4,5,0.001892,-0.00271
version2_vs_version3,5,6,-0.004666,0.001135
version2_vs_version3,6,7,-0.003694,0.000166
version2_vs_version3,7,8,0.003056,-0.000482
version2_vs_version3,8,9,-7.1e-05,0.000472
version2_vs_version3,9,10,-0.002765,-0.000649
version2_vs_version3,10,11,-0.008101,-9.6e-05
version2_vs_version3,11,12,-0.014566,-0.000245
version2_vs_version3,12,13,-0.010625,0.005325
version2_vs_version3,13,14,0.006667,-0.004772
version2_vs_version3,14,15,0.0069,0.005084
version2_vs_version3,15,16,-0.000597,-0.004363
version2_vs_version3,16,17,0.002053,-0.001138
version2_vs_version3,17,18,0.002043,0.002312
version2_vs_version3,18,19,-0.00123,-0.00029
version2_vs_version3,19,20,-0.002,0.001328
version2_vs_version3,20,21,0.011136,-0.002468
version2_vs_version3,21,22,-0.004066,0.001722
version2_vs_version3,22,23,0.003469,-0.00217
version2_vs_version3,23,24,0.005371,0.002623
version2_vs_version3,24,25,-0.001548,7.3e-05
version2_vs_version3,25,26,0.00266,0.002896
version2_vs_version3,26,27,0.002423,-0.002251
version2_vs_version3,27,28,-0.002847,-0.000447
version2_vs_version3,28,29,-0.002813,-0.000986
version2_vs_version3,29,30,1e-06,0.000593
version2_vs_version3,30,31,0.00285,-3.4e-05
version2_vs_version3,31,32,0.001691,0.001281
version2_vs_version3,32,33,0.002755,0.002004
version2_vs_version3,33,34,0.002016,-0.001711
version2_vs_version3,34,35,0.001904,-0.003866
version2_vs_version3,35,36,0.004894,0.002129
version2_vs_version3,36,37,0.003442,0.002544
version2_vs_version3,37,38,0.008591,-0.001575
version2_vs_version3,38,39,0.015303,0.000836
version2_vs_version3,39,40,-0.012785,-0.006173
